Date,SPY,QQQ,IWM,TLT,GLD,EEM,USO,UUP
2007-03-01,98.52120208740234,36.985252380371094,60.62240219116211,49.56364440917969,65.81999969482422,24.45119285583496,409.9200134277344,20.54920768737793
2007-03-02,97.23102569580078,36.42786407470703,59.41643142700195,49.812191009521484,63.709999084472656,24.22464942932129,408.0799865722656,20.540979385375977
2007-03-05,96.30554962158203,36.14487838745117,58.1099853515625,49.89502716064453,62.93000030517578,23.60333251953125,396.9599914550781,20.67265510559082
2007-03-06,97.9532470703125,36.74513626098633,59.69471740722656,49.74592590332031,64.1500015258789,24.639610290527344,402.55999755859375,20.65619468688965
2007-03-07,97.8551025390625,36.5993766784668,59.50151443481445,49.93918228149414,64.30000305175781,24.48932647705078,410.32000732421875,20.57390022277832
2007-03-08,98.6824722290039,36.84804153442383,59.949851989746094,49.89502716064453,64.4800033569336,25.121864318847656,410.32000732421875,20.67265510559082
2007-03-09,98.71051788330078,36.81375503540039,60.4368782043457,49.370365142822266,64.25,25.166723251342773,400.8800048828125,20.7055721282959
2007-03-12,98.8577880859375,37.053855895996094,60.6069221496582,49.56364440917969,64.37000274658203,25.29008674621582,394.79998779296875,20.63973617553711
2007-03-13,96.9365234375,36.33353805541992,59.05311584472656,49.86188888549805,63.720001220703125,24.554372787475586,391.5199890136719,20.59035873413086
2007-03-14,97.65877532958984,36.86520004272461,59.67927169799805,49.63545227050781,63.939998626708984,24.75624656677246,393.1199951171875,20.540979385375977
2007-03-15,97.79195404052734,36.77944564819336,60.14313507080078,49.629947662353516,63.97999954223633,24.958114624023438,389.3599853515625,20.540979385375977
2007-03-16,97.51815795898438,36.75113296508789,59.7333869934082,49.618900299072266,64.62000274658203,24.745031356811523,387.3599853515625,20.466915130615234
2007-03-19,98.69374084472656,37.12868118286133,60.475555419921875,49.51395034790039,64.73999786376953,25.287845611572266,389.6000061035156,20.57390022277832
2007-03-20,99.23580932617188,37.394683837890625,60.95481872558594,49.54159164428711,65.2699966430664,25.453828811645508,387.67999267578125,20.450456619262695
2007-03-21,100.86895751953125,38.115455627441406,62.05253982543945,49.56364440917969,65.81999969482422,26.21645736694336,390.3999938964844,20.392850875854492
2007-03-22,100.79154205322266,37.978145599365234,62.05253982543945,49.171573638916016,65.76000213623047,26.104305267333984,401.44000244140625,20.392850875854492
2007-03-23,100.93933868408203,37.85804748535156,62.14859390258789,49.03351974487305,65.1500015258789,26.225421905517578,404.55999755859375,20.51629066467285
2007-03-26,100.8055648803711,38.01247024536133,62.016902923583984,49.09429931640625,65.83999633789062,26.209716796875,409.3599853515625,20.450456619262695
2007-03-27,100.56626892089844,37.746517181396484,61.730308532714844,49.01144790649414,65.69999694824219,26.093088150024414,409.6000061035156,20.442228317260742
2007-03-28,99.83415222167969,37.34321975708008,61.304325103759766,48.91202163696289,66.05000305175781,25.626543045043945,416.0,20.442228317260742
2007-03-29,99.93974304199219,37.386112213134766,61.381813049316406,48.84574890136719,65.6500015258789,26.135705947875977,428.9599914550781,20.466915130615234
2007-03-30,99.96085357666016,37.35177230834961,61.536720275878906,48.75184631347656,65.73999786376953,26.13121795654297,426.79998779296875,20.40107536315918
2007-04-02,100.07344055175781,37.403255462646484,61.69163131713867,48.832786560058594,65.8499984741211,26.310665130615234,428.4800109863281,20.450456619262695
2007-04-03,101.1505126953125,37.89238357543945,62.34993362426758,48.77181625366211,65.83000183105469,26.741323471069336,419.67999267578125,20.475143432617188
2007-04-04,101.2631607055664,38.046817779541016,62.34219741821289,48.82167434692383,66.80999755859375,26.9095458984375,418.6400146484375,20.450456619262695
2007-04-05,101.5376968383789,38.23561477661133,62.30350875854492,48.63882064819336,66.86000061035156,26.934223175048828,416.0799865722656,20.384618759155273
2007-04-09,101.67849731445312,38.14120101928711,62.388702392578125,48.31727600097656,66.52999877929688,27.0889892578125,402.79998779296875,20.51629066467285
2007-04-10,101.79816436767578,38.33857345581055,62.58233642578125,48.46138000488281,67.16000366210938,27.216838836669922,404.8800048828125,20.450456619262695
2007-04-11,101.3827896118164,37.935264587402344,62.19506072998047,48.42818832397461,67.08000183105469,26.965621948242188,403.67999267578125,20.450456619262695
2007-04-12,101.83338928222656,38.23561477661133,62.6132926940918,48.43925476074219,66.98999786376953,27.416475296020508,413.20001220703125,20.327011108398438
2007-04-13,102.29801177978516,38.31279754638672,63.016048431396484,48.28961181640625,67.83999633789062,27.55105209350586,412.1600036621094,20.318784713745117
2007-04-16,103.26939392089844,38.66461944580078,63.88351821899414,48.55567169189453,68.4000015258789,27.878538131713867,409.6000061035156,20.236486434936523
2007-04-17,103.54395294189453,38.75043487548828,63.689910888671875,48.827266693115234,68.0,27.728260040283203,402.32000732421875,20.228254318237305
2007-04-18,103.67064666748047,38.62173080444336,63.31813049316406,49.07112121582031,68.37999725341797,27.521886825561523,401.1199951171875,20.203563690185547
2007-04-19,103.64250183105469,38.741859436035156,63.016048431396484,48.98801040649414,67.52999877929688,27.299835205078125,393.760009765625,20.203563690185547
2007-04-20,104.62103271484375,38.95635986328125,63.751869201660156,48.86050796508789,68.69999694824219,27.625072479248047,400.3999938964844,20.129499435424805
2007-04-23,104.22676849365234,39.01642608642578,63.68214416503906,49.037864685058594,68.26000213623047,27.515161514282227,409.760009765625,20.236486434936523
2007-04-24,104.26900482177734,39.213783264160156,63.651180267333984,49.22078323364258,67.7300033569336,27.510684967041016,403.1199951171875,20.2117977142334
2007-04-25,105.22640991210938,39.73721694946289,63.829345703125,49.04898452758789,67.88999938964844,27.85161590576172,410.55999755859375,20.178876876831055
2007-04-26,105.34603881835938,39.943153381347656,64.18560028076172,48.69420623779297,66.87000274658203,27.777591705322266,407.5199890136719,20.26117706298828
2007-04-27,105.26161193847656,39.9603157043457,63.914520263671875,48.68317413330078,67.55999755859375,27.638525009155273,414.7200012207031,20.19533920288086
2007-04-30,104.38870239257812,39.436893463134766,62.535865783691406,49.193092346191406,67.08999633789062,27.104694366455078,409.9200134277344,20.15418815612793
2007-05-01,104.65618133544922,39.4025764465332,62.79148483276367,49.22871017456055,66.69000244140625,27.212360382080078,402.8800048828125,20.277633666992188
2007-05-02,105.26863861083984,39.831600189208984,63.627952575683594,49.20086669921875,66.66000366210938,27.752925872802734,396.7200012207031,20.294095993041992
2007-05-03,105.8388442993164,39.977481842041016,63.744163513183594,49.08963394165039,67.48999786376953,27.986204147338867,394.239990234375,20.318784713745117
2007-05-04,106.24005126953125,40.01179885864258,64.14688873291016,49.28987503051758,68.19000244140625,27.97722816467285,386.3999938964844,20.244718551635742
2007-05-07,106.26116180419922,40.01179885864258,63.96097946166992,49.42341232299805,68.25,28.15891456604004,384.4800109863281,20.294095993041992
2007-05-08,106.12043762207031,40.09760284423828,63.73640441894531,49.31211471557617,67.87999725341797,27.793296813964844,389.1199951171875,20.351699829101562
2007-05-09,106.40904998779297,40.18341827392578,63.991973876953125,49.117431640625,67.44999694824219,28.241912841796875,384.0799865722656,20.376388549804688
2007-05-10,105.29678344726562,39.63424301147461,63.20194625854492,49.234291076660156,66.0,27.55105209350586,385.20001220703125,20.40107536315918
2007-05-11,106.19779968261719,40.1405029296875,63.77511978149414,49.06177520751953,66.44999694824219,28.250879287719727,388.55999755859375,20.41753578186035
2007-05-14,105.96554565429688,39.86592483520508,63.217430114746094,48.93383026123047,66.27999877929688,27.970495223999023,388.4800109863281,20.40107536315918
2007-05-15,105.99370574951172,39.5570182800293,62.7139892578125,48.91716384887695,66.54000091552734,28.004146575927734,391.9200134277344,20.33523941040039
2007-05-16,106.71878814697266,39.943153381347656,63.05476760864258,48.88378143310547,65.5999984741211,28.41012954711914,388.239990234375,20.425764083862305
2007-05-17,106.5075912475586,39.75436019897461,62.56680679321289,48.68350601196289,65.05999755859375,28.306955337524414,401.2799987792969,20.475143432617188
2007-05-18,107.43682098388672,40.0804557800293,63.30262756347656,48.360816955566406,65.5199966430664,28.452735900878906,400.79998779296875,20.43399429321289
2007-05-21,107.38048553466797,40.337860107421875,64.10039520263672,48.505489349365234,65.66999816894531,28.50434112548828,406.55999755859375,20.491601943969727
2007-05-22,107.29598999023438,40.37218475341797,64.49540710449219,48.25515365600586,65.19999694824219,28.508825302124023,399.3599853515625,20.499832153320312
2007-05-23,107.31010437011719,40.18341827392578,64.32504272460938,48.11602020263672,65.54000091552734,28.46395492553711,401.3599853515625,20.48337173461914
2007-05-24,106.33866119384766,39.6085090637207,63.48078536987305,48.160545349121094,64.75,27.779836654663086,391.44000244140625,20.51629066467285
2007-05-25,106.7820816040039,39.857337951660156,63.89128494262695,48.049278259277344,64.94000244140625,28.206012725830078,396.0,20.499832153320312
2007-05-29,107.1692886352539,40.1662483215332,64.47988891601562,48.04372024536133,65.06999969482422,28.10956382751465,387.20001220703125,20.508060455322266
2007-05-30,108.0422134399414,40.492313385009766,64.91368103027344,48.143863677978516,64.72000122070312,28.39666748046875,385.67999267578125,20.540979385375977
2007-05-31,107.92955780029297,40.68110656738281,65.26997375488281,48.05487823486328,65.54000091552734,28.4774169921875,391.67999267578125,20.508060455322266
2007-06-01,108.4646224975586,40.70684051513672,65.6030044555664,47.802433013916016,66.44000244140625,29.188459396362305,395.67999267578125,20.51629066467285
