feature,pearson_ic,spearman_ic,abs_pearson_ic,abs_spearman_ic
wap1_last,-0.7087963406060317,-0.6627439603045592,0.7087963406060317,0.6627439603045592
mid1_last,-0.7074368207265928,-0.6603207732740939,0.7074368207265928,0.6603207732740939
mid2_last,-0.7072811589485902,-0.6601617039535136,0.7072811589485902,0.6601617039535136
wap2_last,-0.7045175622144931,-0.6557427479377211,0.7045175622144931,0.6557427479377211
wap1_mean,-0.6369416648154778,-0.5781184201292272,0.6369416648154778,0.5781184201292272
wap2_mean,-0.6365615021747487,-0.5777441394429383,0.6365615021747487,0.5777441394429383
mid1_mean,-0.636271008639973,-0.5772947153827501,0.636271008639973,0.5772947153827501
mid2_mean,-0.6360347190279517,-0.5770259198180828,0.6360347190279517,0.5770259198180828
wap1_bucket_return,-0.5838545715894107,-0.5525556987858312,0.5838545715894107,0.5525556987858312
wap2_bucket_return,-0.5758973096898743,-0.539015000465162,0.5758973096898743,0.539015000465162
mid1_min,-0.5490374795383625,-0.5066428318378681,0.5490374795383625,0.5066428318378681
mid2_min,-0.5485350354992858,-0.5055889675820404,0.5485350354992858,0.5055889675820404
wap1_min,-0.5441453586965186,-0.5008829261749055,0.5441453586965186,0.5008829261749055
mid1_max,-0.5403308530866153,-0.5041660638022185,0.5403308530866153,0.5041660638022185
mid2_max,-0.539460665774962,-0.5038308730072274,0.539460665774962,0.5038308730072274
wap2_min,-0.5367297655398702,-0.4916030946345585,0.5367297655398702,0.4916030946345585
wap1_max,-0.5339119205226293,-0.49644923409435515,0.5339119205226293,0.49644923409435515
wap2_max,-0.5258445709098644,-0.4876718038816386,0.5258445709098644,0.4876718038816386
mid1_first,-0.3817194325509469,-0.30791708426836345,0.3817194325509469,0.30791708426836345
mid2_first,-0.38069863798223263,-0.3081442636632225,0.38069863798223263,0.3081442636632225
wap1_first,-0.3789798852245585,-0.30465103664583276,0.3789798852245585,0.30465103664583276
wap2_first,-0.37290686341526535,-0.3004145058277554,0.37290686341526535,0.3004145058277554
total_imbalance_mean,-0.09869077065501351,-0.12364130157859173,0.09869077065501351,0.12364130157859173
imbalance1_mean,-0.09424566810749314,-0.11800185487582561,0.09424566810749314,0.11800185487582561
imbalance2_mean,-0.09293132663627533,-0.10792583873012514,0.09293132663627533,0.10792583873012514
imbalance1_last,-0.05210000597883999,-0.07268072309957735,0.05210000597883999,0.07268072309957735
total_imbalance_last,-0.04974615610546496,-0.06671915570178799,0.04974615610546496,0.06671915570178799
total_imbalance_min,-0.0406980255973419,-0.06910897830345525,0.0406980255973419,0.06910897830345525
total_imbalance_max,-0.027012321126696555,-0.04820992049632803,0.027012321126696555,0.04820992049632803
imbalance1_min,-0.026815239468421178,-0.05612246041792363,0.026815239468421178,0.05612246041792363
imbalance2_last,-0.02666904393370667,-0.03008962809571702,0.02666904393370667,0.03008962809571702
wap1_realized_vol,0.025566253579851768,0.012099349304125099,0.025566253579851768,0.012099349304125099
total_imbalance_first,-0.023541870753956782,-0.032896434284040876,0.023541870753956782,0.032896434284040876
imbalance1_first,-0.02291524249683272,-0.029655547230061325,0.02291524249683272,0.029655547230061325
wap2_realized_vol,0.021814908224016223,0.00851487029513074,0.021814908224016223,0.00851487029513074
mid1_std,0.02122460723985653,0.006898283278081549,0.02122460723985653,0.006898283278081549
wap1_std,0.021064317006871155,0.007285178031977944,0.021064317006871155,0.007285178031977944
mid2_std,0.021009555156430684,0.006258076974751652,0.021009555156430684,0.006258076974751652
wap2_std,0.01979635319582645,0.006634176266655032,0.01979635319582645,0.006634176266655032
log_total_size2_max,-0.019018686447743682,-0.020870849433413708,0.019018686447743682,0.020870849433413708
rel_spread2_last,0.017895805974259462,0.009008160402971326,0.017895805974259462,0.009008160402971326
rel_spread1_mean,0.01741497651653994,0.0043762192446853785,0.01741497651653994,0.0043762192446853785
log_total_size1_first,-0.0170317926450088,-0.019462509616837216,0.0170317926450088,0.019462509616837216
imbalance2_first,-0.016706868374519783,-0.02546969229103773,0.016706868374519783,0.02546969229103773
rel_spread2_mean,0.016352694102363945,0.001810765091968644,0.016352694102363945,0.001810765091968644
log_total_size1_max,-0.016336119564861522,-0.018455014131036,0.016336119564861522,0.018455014131036
imbalance2_min,-0.01517860999926306,-0.0371870202029712,0.01517860999926306,0.0371870202029712
rel_spread1_last,0.014227225548209268,0.009881454078238231,0.014227225548209268,0.009881454078238231
imbalance1_max,-0.014205551225744762,-0.04193045472574557,0.014205551225744762,0.04193045472574557
rel_spread1_max,0.014050405993075717,-0.001346451961721484,0.014050405993075717,0.001346451961721484
rel_spread2_min,0.013990832429758768,0.0005175806952654304,0.013990832429758768,0.0005175806952654304
log_total_size2_last,-0.01331467694171175,-0.012358653785101509,0.01331467694171175,0.012358653785101509
rel_spread1_std,0.01316272274967639,-0.0016910623473898715,0.01316272274967639,0.0016910623473898715
log_total_size2_mean,-0.012987481237020978,-0.015643930042457354,0.012987481237020978,0.015643930042457354
imbalance2_max,-0.012698814120033094,-0.036554063332568595,0.012698814120033094,0.036554063332568595
log_total_size1_mean,-0.012114327857575597,-0.014568042092684287,0.012114327857575597,0.014568042092684287
total_imbalance_std,0.011683058421583714,0.014602476796478192,0.011683058421583714,0.014602476796478192
rel_spread2_max,0.010688963926350879,-0.002633879624020103,0.010688963926350879,0.002633879624020103
rel_spread2_std,0.009923508927658356,-0.00555877146979837,0.009923508927658356,0.00555877146979837
log_total_size1_min,-0.009421538605283133,-0.015623592441136144,0.009421538605283133,0.015623592441136144
imbalance1_std,0.009406035200404308,0.011087161801870964,0.009406035200404308,0.011087161801870964
coverage_ratio,0.008823084737911754,0.012176621516634378,0.008823084737911754,0.012176621516634378
n_updates,0.00882308466861873,0.012176621516634378,0.00882308466861873,0.012176621516634378
rel_spread1_first,-0.007293585124217042,-0.0068663381975747045,0.007293585124217042,0.0068663381975747045
log_total_size1_std,0.007025904579163096,0.007519155010052692,0.007025904579163096,0.007519155010052692
seconds_span,0.006950129078570301,0.009841563510535641,0.006950129078570301,0.009841563510535641
imbalance2_std,0.006302169147367828,0.007771154878417805,0.006302169147367828,0.007771154878417805
log_total_size2_min,-0.005738552980932514,-0.007588190198062349,0.005738552980932514,0.007588190198062349
rel_spread2_first,-0.005071984834905722,-0.008208130343943833,0.005071984834905722,0.008208130343943833
rel_spread1_min,0.004929104487799337,0.004472942771865633,0.004929104487799337,0.004472942771865633
log_total_size1_last,-0.004688671308177891,-0.008863343986973016,0.004688671308177891,0.008863343986973016
log_total_size2_std,0.0027533858563329565,0.0019135340333309085,0.0027533858563329565,0.0019135340333309085
log_total_size2_first,0.0005981029101515313,-0.0006281636612577162,0.0005981029101515313,0.0006281636612577162
